holoCaM-CaMKII.loop1.water2.frame150	7 2.378489283610537	1.8962
holoCaM-CaMKII.loop1.water2.frame151	7 2.1927207311240293	1.9896
holoCaM-CaMKII.loop1.water2.frame152	7 2.0682517906203035	1.9578
holoCaM-CaMKII.loop1.water2.frame153	7 2.190393180421736	1.9489
holoCaM-CaMKII.loop1.water2.frame154	6 2.3699621990656525	1.8443
holoCaM-CaMKII.loop1.water2.frame155	7 2.335083156965931	1.9142
holoCaM-CaMKII.loop1.water2.frame156	7 2.3371482854869265	1.8317
holoCaM-CaMKII.loop1.water2.frame157	7 2.260562574168404	1.9397
holoCaM-CaMKII.loop1.water2.frame158	6 2.187569163191788	1.9138
holoCaM-CaMKII.loop1.water2.frame15	7 2.4974397957381202	1.8922
holoCaM-CaMKII.loop1.water2.frame160	7 2.3516001417058137	1.9432
holoCaM-CaMKII.loop1.water2.frame161	6 2.101784267399914	1.8766
holoCaM-CaMKII.loop1.water2.frame162	7 2.0663045851094126	1.9257
holoCaM-CaMKII.loop1.water2.frame163	7 2.3111573613602356	1.8612
holoCaM-CaMKII.loop1.water2.frame164	7 2.2708675792799005	1.8996
holoCaM-CaMKII.loop1.water2.frame165	6 2.2262333460203667	1.8932
holoCaM-CaMKII.loop1.water2.frame166	7 2.150943868022516	1.8916
holoCaM-CaMKII.loop1.water2.frame167	7 2.453630880140483	1.8796
holoCaM-CaMKII.loop1.water2.frame168	7 2.072590340760703	1.9419
holoCaM-CaMKII.loop1.water2.frame169	7 2.362409997175171	1.9422
holoCaM-CaMKII.loop1.water2.frame16	6 2.200228188030764	1.8631
holoCaM-CaMKII.loop1.water2.frame170	7 2.3558806411998927	1.9191
holoCaM-CaMKII.loop1.water2.frame171	7 2.268909240426127	1.8980
holoCaM-CaMKII.loop1.water2.frame175	7 2.3371805459219153	1.9082
holoCaM-CaMKII.loop1.water2.frame176	6 2.2527599939748635	1.9849
holoCaM-CaMKII.loop1.water2.frame177	6 2.0257638959633755	1.8720
holoCaM-CaMKII.loop1.water2.frame178	7 2.1833448841813468	2.0162
holoCaM-CaMKII.loop1.water2.frame17	7 2.143922784605695	1.9191
holoCaM-CaMKII.loop1.water2.frame180	7 2.2809603936880056	2.0515
holoCaM-CaMKII.loop1.water2.frame181	7 2.2847485187789753	1.8659
holoCaM-CaMKII.loop1.water2.frame182	7 2.1550414471181476	1.8912
holoCaM-CaMKII.loop1.water2.frame184	6 1.897617922543476	1.9867
holoCaM-CaMKII.loop1.water2.frame185	6 2.2607536387692804	2.0153
holoCaM-CaMKII.loop1.water2.frame186	8 2.1951326393986204	2.1019
holoCaM-CaMKII.loop1.water2.frame187	6 2.556315033327841	2.0825
holoCaM-CaMKII.loop1.water2.frame188	7 2.136967163845826	2.0000
holoCaM-CaMKII.loop1.water2.frame189	7 2.096775479120844	1.9255
holoCaM-CaMKII.loop1.water2.frame18	7 2.3493104139275465	1.8785
holoCaM-CaMKII.loop1.water2.frame190	7 2.343729818286601	1.9846
holoCaM-CaMKII.loop1.water2.frame191	7 2.123870697915784	1.8329
holoCaM-CaMKII.loop1.water2.frame192	7 2.069462330036886	1.9168
holoCaM-CaMKII.loop1.water2.frame193	6 2.4172250369609385	1.9719
holoCaM-CaMKII.loop1.water2.frame194	7 2.3508413770215273	2.0074
holoCaM-CaMKII.loop1.water2.frame195	6 2.2161447900662146	1.9092
holoCaM-CaMKII.loop1.water2.frame197	7 2.2728161498623383	1.9966
holoCaM-CaMKII.loop1.water2.frame199	7 2.1108777115991253	1.9482
holoCaM-CaMKII.loop1.water2.frame19	7 2.2576956434042157	1.9060
holoCaM-CaMKII.loop1.water2.frame1	7 2.3124302267803385	1.8756
holoCaM-CaMKII.loop1.water2.frame201	7 2.449876836333795	1.9353
holoCaM-CaMKII.loop1.water2.frame202	7 2.487331108373593	1.8867
holoCaM-CaMKII.loop1.water2.frame204	6 2.1704356985926534	1.9232
holoCaM-CaMKII.loop1.water2.frame205	7 2.017582936854912	1.8592
holoCaM-CaMKII.loop1.water2.frame206	7 2.265505447665997	1.8916
holoCaM-CaMKII.loop1.water2.frame207	6 2.2433506054529833	1.9292
holoCaM-CaMKII.loop1.water2.frame208	7 2.306533991459674	1.9265
holoCaM-CaMKII.loop1.water2.frame209	6 2.1428979476546144	1.8911
holoCaM-CaMKII.loop1.water2.frame20	7 2.379595079264535	1.9058
holoCaM-CaMKII.loop1.water2.frame210	6 2.288942105874809	1.8333
holoCaM-CaMKII.loop1.water2.frame211	7 2.0108047050374216	1.8793
holoCaM-CaMKII.loop1.water2.frame212	6 2.2958418176159596	1.8939
holoCaM-CaMKII.loop1.water2.frame213	7 2.3182805758065315	2.0538
holoCaM-CaMKII.loop1.water2.frame214	7 2.2428555321435737	2.0296
holoCaM-CaMKII.loop1.water2.frame215	7 2.4466475018633034	1.9249
holoCaM-CaMKII.loop1.water2.frame216	6 2.1162126471378726	1.8600
holoCaM-CaMKII.loop1.water2.frame217	7 2.184111295258861	1.9684
holoCaM-CaMKII.loop1.water2.frame218	7 2.301416251567122	1.8714
holoCaM-CaMKII.loop1.water2.frame219	7 2.1206110589425893	1.8223
holoCaM-CaMKII.loop1.water2.frame21	7 2.251887496325814	2.0039
holoCaM-CaMKII.loop1.water2.frame220	7 2.3114851028167047	1.8684
holoCaM-CaMKII.loop1.water2.frame221	7 2.322188585928177	2.0454
holoCaM-CaMKII.loop1.water2.frame222	7 2.2524012730554595	1.8895
holoCaM-CaMKII.loop1.water2.frame223	7 2.3561373454755716	1.9567
holoCaM-CaMKII.loop1.water2.frame224	7 2.100760572442246	1.9669
holoCaM-CaMKII.loop1.water2.frame225	7 2.2233465707963282	1.8683
holoCaM-CaMKII.loop1.water2.frame226	7 2.2374474269031763	1.9640
holoCaM-CaMKII.loop1.water2.frame227	6 1.9199536338186578	1.8667
holoCaM-CaMKII.loop1.water2.frame229	7 2.2399862217347484	1.9116
holoCaM-CaMKII.loop1.water2.frame231	7 2.0677715592339228	1.9556
holoCaM-CaMKII.loop1.water2.frame232	7 1.9920879026311644	1.9566
holoCaM-CaMKII.loop1.water2.frame233	7 2.4537649155469254	1.8980
holoCaM-CaMKII.loop1.water2.frame234	6 2.1219253374749085	1.9216
holoCaM-CaMKII.loop1.water2.frame235	6 2.0852097446519293	1.9302
holoCaM-CaMKII.loop1.water2.frame236	7 2.079183984667618	1.8890
holoCaM-CaMKII.loop1.water2.frame237	7 2.1611246207141943	1.8914
holoCaM-CaMKII.loop1.water2.frame238	7 2.201123241634183	1.9486
holoCaM-CaMKII.loop1.water2.frame239	7 2.206116799392581	1.9645
holoCaM-CaMKII.loop1.water2.frame240	6 1.988309985866572	1.9702
holoCaM-CaMKII.loop1.water2.frame241	6 2.256760489396503	1.9028
holoCaM-CaMKII.loop1.water2.frame242	6 2.0801235525477457	1.8666
holoCaM-CaMKII.loop1.water2.frame246	6 2.3206970087733323	1.8977
holoCaM-CaMKII.loop1.water2.frame247	7 2.199876387061838	1.8984
holoCaM-CaMKII.loop1.water2.frame248	7 2.26456455345969	1.9507
holoCaM-CaMKII.loop1.water2.frame249	7 2.337125007752773	2.0182
holoCaM-CaMKII.loop1.water2.frame24	7 2.525070985678268	1.9076
holoCaM-CaMKII.loop1.water2.frame250	7 2.2408315037984665	1.9531
holoCaM-CaMKII.loop1.water2.frame251	7 2.3777326648265995	1.9675
